"","X","ID","day","Atease","Calm","Relaxed","Drowsy","Sluggish","Tired","Content","Pleased","Happy","Alert","Aroused","Hyperactivated","Miserable","Troubled","Unhappy","Sleepy","Quiet","Still","Afraid","Ashamed","Distressed","Guilty","Hostile","Irritable","Jittery","Nervous","Scared","Upset","Active","Alone","Attentive","Determined","Enthusiastic","Excited","Inspired","Interested","Proud","Strong"
"836",836,79,11,0.5,0.25,0.25,0,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.75,0.25,0.25
"837",837,79,12,0.25,0.5,0.25,0.25,0,0.25,0.25,0.75,0.5,0.5,0.25,0,0.25,0.5,0.25,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.25
"838",838,79,13,0.25,0.25,0.25,0,0,0.25,0.25,0.5,0.25,0.5,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0.25,0.5,0.25,0.5,0.25,0.25,0.25,0.5,0.5,0.25,0.25
"839",839,79,14,0.25,0.5,0.5,0,0,0,0.5,0.5,0.25,0.5,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0.25,0.25,0.25,0,0.25,0.5,0.25,0.5,0.5,0.5,0.75,0.25,0.5,0,0.5
"840",840,79,15,0.5,0.5,0.25,0,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0,0,0.25,0,0,0.25,0,0,0,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.75,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.25
"841",841,79,16,0.5,0.25,0.5,0,0.25,0.25,0.5,0.5,0.25,0.5,0.25,0,0,0.25,0.25,0,0,0,0,0,0.25,0.25,0,0.25,0.5,0.25,0,0.25,0.5,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0
"842",842,79,17,0,0.25,0.25,0.25,0.25,0,0.25,0.5,0.25,0.5,0.5,0,0,0.25,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0,0,0.25,0.5,0,0.5,0.75,0.5,0.5,0.25,0.25,0.25,0.25
"843",843,79,18,0.5,0.5,0.25,0,0,0,0.5,0.5,0.5,0.5,0.25,0,0,0.25,0,0,0.25,0,0,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25
"844",844,79,19,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0,0,0.25,0,0,0.5,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.5,0,0.5,0.25,0.25,0.25,0.25,0.5,0,0.25
"845",845,79,20,0.5,0.5,0.25,0,0,0.25,0.5,0.25,0.5,0.5,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25
"846",846,79,21,0.25,0.5,0.25,0.25,0,0.25,0.5,0.25,0.25,0.5,0,0,0,0.25,0,0.25,0.25,0,0,0,0.25,0,0,0.25,0.25,0.25,0,0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.5
"847",847,79,22,0.25,0.5,0.25,0.25,0,0.25,0.5,0.5,0.25,0.5,0.25,0,0.25,0.25,0,0,0.25,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.5,0.25,0.5,0.25,0.25,0.25,0.5,0.5,0.25,0.25
"848",848,79,23,0.25,0.5,0.5,0,0,0.25,0.5,0.25,0.5,0.25,0.25,0,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25
"849",849,79,24,0.5,0.25,0.5,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0,0,0.25,0,0,0.5,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.5,0.25,0.75,0.5,0.25,0.25,0.5,0.75,0.75,0.25
"850",850,79,25,0.25,0.5,0.25,0,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0,0,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5
"851",851,81,1,0.5,0.5,0.75,0.75,1,0.75,0.5,0.5,0.25,0.25,0,0,0,0.5,0.25,0.75,0.75,0.75,0.5,0,0.25,0,0,0,0.25,0,0.25,0,0.25,0.5,0.25,0.25,0,0,0,0.25,0,0.25
"852",852,81,2,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0,0,0,0,0,0.25,0,0.25,0.75,0.25,0.5,0,0.5,0,0,0,0.25,0.25,0.5,0,0.5,0.75,0.5,0.5,0.5,0,0.75,0.75,0,0.25
"853",853,81,3,0.25,0.5,0.5,0,0.25,0.5,0.75,0.5,0.25,0.5,0.25,0,0.25,0.25,0.25,0,0.5,0.5,0.5,0,0.5,0,0,0,0.25,0.25,0.25,0,0.5,0,0.75,0.75,0.5,0.25,0.5,0.5,0.5,0.75
"854",854,81,4,0.75,0.75,0.25,0.25,0,0.5,0.75,0.75,0.25,0.75,0,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0.75,0.5,0,0.5,0.75,0,0.75
"855",855,81,5,0.75,0.75,0.75,0,0.75,0.25,0.75,0.75,0.25,0.5,0,0,0,0,0,0.25,0.5,0.5,0,0,0.25,0,0,0,0.25,0.25,0,0,0.5,0,0.75,0.5,0.75,0.75,0.75,0.75,0.25,0.75
"856",856,81,6,0.5,0.5,0.5,0.75,0.25,0.75,0.5,0.25,0,0.5,0,0,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0,0.25,0,0,0,0.25,0.25,0.25,0,0.5,0.75,0.5,0.5,0,0.25,0.25,0.75,0,0.5
"857",857,81,7,0.25,0.25,0,0.75,0.75,0.75,0,0,0,0.25,0.25,0,0.25,0,0.25,0.75,0.5,0.25,1,0,0,0,0.25,0.25,0.25,0.75,0.75,0.25,0,0.25,0.75,0.25,0,0,0,0.5,0,0
"858",858,81,8,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0,0,0,0.75,0.75,0.5,1,0.5,0.75,0.75,0,0.75,0,0,0,0.5,0.75,0.75,0,0.25,0.5,0.5,0.5,0.5,0,0,0.5,0.25,0
"859",859,81,9,0,0.25,0,0.75,0.5,0.75,0.25,0.25,0.25,0,0.5,0,0,1,0.75,0.5,0.5,0.75,1,0,1,0,0,0.5,0.75,0.75,1,0,0.5,0.25,0.5,0.5,0.25,0.25,0.25,0.5,0,0.5
"860",860,81,10,0.5,0.5,0.5,0.25,0.25,0.75,0.75,0.25,0.5,0.5,0.25,0,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0,0.25,0,0,0,0.5,0.5,0.5,0,0.75,0,0.5,0.5,0.25,0,0.5,0.25,0,0.5
"861",861,81,11,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0.25,0.25,0,0.25,0,0,1,0.25,0.5,0.5,0.75,1,0,1,0,0.75,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.5,0,0
"862",862,81,12,0,0.25,0,0.5,0.5,0.5,0,0,0,0.25,0,0,1,1,1,0.25,0.5,0.75,0.75,0,1,0.25,0.25,0.5,0.5,0.5,0.75,0,0.25,0.75,0.25,0,0.25,0,0,0.25,0,0
"863",863,81,13,0.25,0.25,0.25,0.25,0.75,0.5,0.25,0,0,0.5,0.25,0,0.75,0.5,0.75,0.25,0.5,0.75,0.25,0,0.5,0,0,0,0.75,0.25,0.25,0,0.25,0.5,0.25,0.25,0,0,0,0.25,0,0
"864",864,81,14,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0,0.25,0,0.25,0.5,0.75,0.5,0.5,0.5,0.5,0,0.5,0,0.25,0.25,0.5,0.5,0.25,0.75,0.75,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25
"865",865,81,15,0.75,0.5,0.5,0.25,0.25,0.5,0.75,0.25,0.25,0.25,0.25,0,0.25,0.5,0.5,0.25,0.5,0.25,0.25,0,0.25,0,0,0.25,0.5,0.5,0.5,0.25,0.75,0.75,0.5,0.5,0.25,0.75,0.5,0.5,0,0.5
"866",866,81,16,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0,0.5,0.75,0,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.25,0.75,0.5,0.75,0.75,0.75,0.75,0.75,1,0.75,0.5,0.5,0.5,0.25,0,0.5,0.5,0,0.25
"867",867,81,17,0.5,0.5,0.25,0.25,0.25,0.5,0.5,0.25,0,0.5,0.75,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.25
"868",868,81,18,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0,0,0.5,0.5,0,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0,0.75,0,0.75,0.75,0.5,0.75,0.5,0.75,0.5,0.75,0.5,0.5,0,0.25,0,0.5,0,0.5
"869",869,81,19,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0,0,0.75,0,0.5,0.75,0.5,0.5,0.5,0.5,0.25,0,0.75,0,0.75,0.75,0.75,0.75,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0,0.5
"870",870,81,20,0.5,0.25,0.5,0,0.25,0.25,0.5,0.5,0,0,0.5,0,0.5,0.75,0.25,0,0.5,0,0.75,0,0.75,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.5,0.5,0.5,0.75,0.75,0,0.5
"871",871,81,21,0.5,0.25,0.75,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.25,0,0.25,0.25,0.25,0,0.5,0.25,0.25,0,0.5,0,0,0,0.25,0.75,0,0,0.75,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0,0
"872",872,81,22,0.25,0.25,0,0,0.75,0.25,0.25,0.25,0.25,0.5,1,0,0.25,0.75,0.75,0.25,0.25,0.5,0.75,0,0.75,0.25,0.75,0.75,0.75,0.75,0.75,1,0.25,0.5,0.5,0.5,0.25,0.5,0.25,0.5,0,0
"873",873,81,23,0.5,0.5,0.5,0.25,0,0.75,0.5,0.25,0.25,0.5,0.5,0,0.25,0.5,0.25,0.25,0.5,0.5,0.5,0,0.5,0,0.25,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0,0
"874",874,81,24,0.25,0.5,0.25,0.25,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0,1,0.75,1,0.25,0.5,0.5,0.75,0.25,0.75,0.75,0.75,0.75,0.5,0.5,0.5,1,0.75,0.25,0.5,0.5,0.5,0.5,0.25,0.5,0,0
"875",875,81,25,0.5,0.5,0.5,0.25,0.25,0.5,0.75,0.25,0.25,0.5,0.25,0,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0,0.25,0,0.5,0.25,0.5,0.25,0.5,0.25,0.75,0.5,0.5,0.25,0.25,0.25,0.5,0.5,0.25,0.5
"876",876,82,1,0,0.25,0.25,0.5,0.75,0.5,0.25,0,0,0,0.5,0,0.25,0.75,0.5,0,0.5,0.25,0.5,0.75,0.75,0.25,0,0.75,0.25,0,0,0.25,0.25,0.5,0.25,0,0,0,0.25,0.5,0,0
"877",877,82,2,0.5,0.5,0.5,0,0,0.25,0.75,0,0,0.75,0,0,0,0.25,0.25,0.25,0.5,0.5,0,0,0.25,0,0,0.25,0.25,0,0.25,0.25,0.5,0,0.5,0.25,0,0,0.25,0.5,0,0.25
"878",878,82,3,0.25,0,0.5,0,0.25,0.5,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.5,0.5,0,0,0.25,0,0,0.25,0,0.25,0,0.25,0.5,0.25,0.25,0.5,0,0,0.5,0.5,0,0.25
"879",879,82,4,0.5,0.5,0.5,0,0.25,0.25,0.75,0.75,0.5,0.25,0.5,0,0,0.25,0,0,0.25,0.25,0,0,0.5,0,0,0.25,0.25,0,0.25,0.5,0.5,0,0.5,0.5,0.75,0,0.5,0.5,0,0.5
"880",880,82,5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.25,0.25,0.25,0,0,0.25,0.25,0,0.5,0.5,0,0,0.25,0,0,0.25,0.25,0.25,0,0.25,0.5,0,0.5,0.25,0.5,0,0.5,0.5,0.25,0.5
"881",881,82,6,0.25,0,0.25,0,0,0.5,0.25,0,0,0,0.5,0,0.25,0.75,0.5,0.5,0.25,0,0.25,0.25,0.75,0,0,0.5,0.75,0.25,0.25,0.5,0.25,0,0.25,0.5,0,0,0.25,0.5,0,0.5
"882",882,82,7,0.5,0.25,0.25,0,0,0.5,0.25,0.25,0.25,0,0.5,0,0.25,0.5,0.25,0.5,0.25,0,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0.5,0.25,0,0.25,0.5,0,0,0.25,0.25,0,0.5
"883",883,82,8,0.5,0.5,0.25,0,0.5,0.5,0.5,0.25,0.25,0,0,0,0,0.25,0,0.5,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0,0.25
"884",884,82,9,0.75,0.75,0.5,0,0,0.5,0.75,0.5,0.5,0.5,0,0,0,0.25,0,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.75,0.25,0.5,0.5,0.5,0.5,0.5
"885",885,82,10,0.5,0.5,0.25,0.5,0.5,1,0.5,0.25,0.25,0,0.25,0,0,0.25,0,1,0.5,0.5,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0.25,0.25,0,0,0,0.25,0,0.5
"886",886,82,11,0.5,0.5,0.5,0,0,0.25,0.5,0.25,0,0.5,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25
"887",887,82,12,0,0.5,0.25,0,0,0.25,0.25,0.25,0.25,0.5,0,0,0,0.25,0.25,0.25,0.5,0,0,0,0.25,0,0,0.25,0,0.25,0,0.5,0.5,0,0.5,0.25,0,0,0,0.25,0,0.25
"888",888,82,13,0.5,0.5,0.5,0,0,0.25,0.5,0.5,0.25,0.5,0,0,0,0.25,0.25,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0.25,0.5,0,0.5,0.5,0.5,0.5,0.25,0.5,0,0.5
"889",889,82,14,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0.25,0.25,0.5,0.25,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0.25,0.5,0.25,0.5,0,0.25,0.25,0.5,0,0
"890",890,82,15,0.25,0.25,0,0,0,0,0.25,0,0,0.5,0.25,0,0,0.5,0.25,0,0,0.5,0.25,0.25,0.5,0,0,0.25,0.5,0.25,0.5,0.25,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0.5
"891",891,82,16,0,0,0,0,0.25,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0,0.5,0,0,0.25,0.5,0,0,0.5,0.5,0.5,0.25,0,0,0,0.5,0.25,0,0.25
"892",892,82,17,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0.25,0.25,0.25,0,0.5,0.5,0,0,0.5,0,0,0.25,0.5,0.25,0,0.5,0.25,0.25,0.25,0,0,0,0,0.25,0,0.25
"893",893,82,18,0.5,0.5,0.5,0,0,0.25,0.5,0.5,0.25,0.5,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0.25,0,0,0,0.5,0,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.5
"894",894,82,19,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0,0.25,0.5,0,0,0.25,0.25,0.25,0.5,0.5,0,0,0.25,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0.25,0.25,0.5,0.5,0,0.25
"895",895,82,20,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0,0.5,0.25,0.25,0.5,0.5,0.25,0,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0.25,0,0.25,0.25,0.25,0,0.25
"896",896,82,21,0.25,0.25,0.25,0.5,0.5,0.75,0.25,0,0,0,0.25,0,0,0.25,0.25,0.5,0.5,0.25,0,0,0.5,0,0,0.25,0.5,0.25,0,0.25,0,0.25,0.25,0,0,0,0,0.25,0,0
"897",897,82,22,0,0,0,0.25,0.25,0.5,0,0,0,0,0.5,0,0,0.25,0.5,0.5,0.5,0,0,0,0.25,0,0,0.25,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0,0,0
"898",898,82,23,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.25,0,0,0.25,0,0,0.25,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0.25,0,0
"899",899,82,24,0,0,0.75,0.5,0.25,0.75,0,0,0,0,0.5,0,0.25,0.25,0.5,0.5,0,0.5,0,0.25,0.5,0.25,0,0.5,0.5,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0
"900",900,82,25,0.5,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.5,0,0,0.25,0,0,0.25,0.5,0,0,0.25,0.25,0,0.5,0.25,0,0,0.25,0.25,0,0
"901",901,86,1,0.75,0.25,0.75,0,0,0.5,0.75,0.75,0.5,0.25,0.75,0,0,0,0.5,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0.5,0.5,0.5,0.75,0.75,0.25,0.75
"902",902,86,2,1,0.5,1,0,0,0,1,1,1,1,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0.25,0.25,0.75,0.75,0.5
"903",903,86,3,1,1,1,0.25,0,0,1,0.75,0.75,1,0.5,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0.25,0,0,0,0.25,0.5,1,0.75,1,0.75,1,0.75,0.75,0.75,1
"904",904,86,4,0.75,1,0.75,0,0.25,0.5,0.75,0.75,1,0.5,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.75,0.75,0.75,0.75,0,0.75,0.75,0.75
"905",905,86,5,0.75,0.25,1,0,0,0,1,1,1,1,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,1,1,1,0.75,0.5,1,0.5,1
"906",906,86,6,0.75,0.75,0.75,0,0,0,1,1,1,1,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0.75,0.75,1,0,0.75,0.5,0.75
"907",907,86,7,0.75,0.75,0.5,0,0,0,0.75,1,0.75,0.75,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.5,0.5,0.75,0.5,0,0.75,0.75,0.5
"908",908,86,8,0.5,0.75,0.5,0,0,0,0.5,0.75,0.5,1,0,0,0.25,0,0.5,0,0.5,0,0,0,0.75,0,0,0,0,0,0,0,0.75,0,0.5,1,0.5,0.25,0,0.25,0.25,0.25
"909",909,86,9,1,0,1,0,0,0,1,1,0.75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0.75,1,1,0.75,0.75,0.75,0.5,0.75
"910",910,86,10,0.75,0.25,1,0,0,0,0.75,1,0.75,1,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0.75,1,1,0.75,0.75,0.75,0.75,0.75
"911",911,86,11,1,1,0.75,0,0,0,1,0.75,1,1,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.75,0,1,1,0.75,0.75,0,1,0.75,1
"912",912,86,12,1,0.5,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.75,0,1,1,0.75,0.75,0.75,1,0.75,0.75
"913",913,86,13,0.75,0.25,0.75,0,0,0,1,1,1,1,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0.25,0,0,0,1,0,0.75,0.75,0.75,1,0,0.75,0.75,0.75
"914",914,86,14,0.5,0.5,0.75,0,0,0.25,0.75,0.75,0.75,0.5,0.75,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.75,0,0.75,0.75,0.75,0.75,0.25,0.75,0.75,1
"915",915,86,15,0.75,0.5,1,0,0,0,0.75,0.75,0.75,0.75,0.25,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0.75,0,0,0,0,0.75,0,0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.75
"916",916,86,16,1,1,1,0,0,0.25,1,1,1,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,1,0.5,1,0.5,0.5,0.75,0.5
"917",917,86,17,1,0.75,0.75,0,0,0,1,0.75,1,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0.75,0.75,0.75,0.5,0,0.5,0.5,0.75
"918",918,86,18,0.75,0.75,1,0,0,0,1,1,1,0.75,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.75,0,1,0.75,1,0.75,0.5,1,0.75,1
"919",919,86,19,1,0.75,1,0,0,0.25,1,1,0.75,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.75,0.5,0.75,1,0.5,1,0.5,0.75
"920",920,86,20,1,0.5,1,0,0,0,1,1,1,1,0.75,0,0,0,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0,0.25,0.75,0,0.75,1,1,1,0,0.75,0.75,0.75
"921",921,86,21,0.75,0.5,0.25,0,0.25,0,0.5,0.5,0.25,1,0.25,0,0.25,0.75,1,0,0.75,0.25,0,0,0.75,0,0,0,0.25,0.25,0,0,0.5,0,0.5,0.5,0.25,0.75,0.5,0.5,0,0
"922",922,86,22,0.25,0.25,0.5,0,0,0.25,0,0.25,0,0.5,0.75,0.25,1,1,1,0,1,0.5,0,0,1,0,0,0.75,0.75,0.5,0,0.25,0.25,0,0.5,0,0,0.25,0,0.5,0.25,0.25
"923",923,86,23,1,0.75,0.75,0,0,0,1,1,1,1,1,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0.5,0.5,0,0.25,1,0,1,1,0.75,0.75,0,1,0.75,1
"924",924,86,24,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0.75,0.5,0,0,0.75,0,1,0.75,0.75,0.25,0,1,0.5,0
"925",925,86,25,0.25,0.5,0.25,0,0,0,1,1,1,1,0.75,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0.75,0,0.75,0,0.5,0,0,0.5,0.75,0.75,0.25,1,0.5,0.75
"926",926,87,1,0.75,0.75,0.75,0,0.75,0.75,0.25,0.25,0.5,0,0,0,0,0.25,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.5,0.5,0.25,0,0,0.75,0.5,0.5
"927",927,87,2,0.75,1,0.75,1,1,1,0.75,0.75,0.5,0.25,1,0,0.25,0,0.25,1,0.75,0.5,0,0,0,0,0,0.25,0,0,0,0,0.5,0.5,0.75,0.25,0.5,0.25,1,0.75,0.25,0
"928",928,87,3,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0.75,0.25,0
"929",929,87,4,0.75,0.75,0.75,0.25,0.5,0,0.5,0.5,0.75,0.5,0.5,0,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.75,0.5,0.25,0.25,0.5,0,0,0.25
"930",930,87,5,0.5,1,0.75,0,0,0,0.75,0.75,0.75,0.5,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0.75,0.5,0.5,0,0.75,0.5,0,1,0,0.25
"931",931,87,6,0.75,0.75,1,0,0.25,0.25,0.75,0.75,0.5,0.5,0,0,0,0,0,0.5,0.75,0.25,0,0,0.25,0,0,0,0,0,0,0,0.5,0.25,0,0.25,0.25,0,0,0.75,0.5,0
"932",932,87,7,1,1,0.25,0,0,0.25,0.5,0.75,0.75,0.5,1,0,0,0.25,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0.75,0.25,0,0.5,0,1,0.75,0.5,0.25
"933",933,87,8,0.75,0.5,0.5,0,0,0,0.75,0.75,0.75,0.25,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.25,0.25,0.5,0.75,0,0.75,0.25,0.5
"934",934,87,9,0,1,1,0,0,0,0.75,1,0.75,0.75,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0.75,0.25,0,1,0,0.5,0.5,0.5
"935",935,87,10,0.75,0.75,1,0,0,0,0.75,0.5,0.5,0.75,0.75,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0.5,0.25,0.75,0.75,0.25,0.5,0.5,0.25,0.25,0.5
"936",936,87,11,0.25,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0,0.75,0,0,0,0.25,0.75,1,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0.75,0.5,0.25,0.5,0.5,0.75,0.75,0.25,0.25
"937",937,87,12,0.75,0.75,1,0.5,0.5,0.75,0.75,0.25,0.5,0,0,0,0,0,0,0.5,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.75,0,0,0.25,0,0.75,0,0.25
"938",938,87,13,0.5,0.25,0.75,0,0,0,0.5,0.5,0.75,0.5,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0.25,0,0.5,0,0,0.25,0.25,0.75,0.5,0.25,0,0,0.75,0,0.25
"939",939,87,14,0.75,0.75,0.5,0.25,0,0,0.5,0.25,0.75,0.5,0,0,0,0,0,0.5,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0.25,0.25,0.5
"940",940,87,15,0.75,0.75,0.75,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0.25,0.75,0.5,0.25,0.5,0,0.75,0.25,0.25
"941",941,87,16,0.75,0.75,0.5,0.25,0.25,0.25,0.75,0.5,0.5,0.25,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.5,0.25,0,0.5,0.25,0.5
"942",942,87,17,0.75,0.5,0.5,0,0.25,0.25,0.5,0.25,0.5,0.25,0,0,0,0,0,0.25,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.5,0.25,0.25,0,0,0.75,0.25,0.25
"943",943,87,18,0.75,0.5,0.5,0.25,0.25,0.25,0.75,0.75,0.5,0.5,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.75,0.25,1,0.5,0,0.5,0.25,0.25
